"","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01"
"North Dakota",642237,642166,642094,642023,641776,641530,641283,641036,640789,640542,640296,640049,639802,639556,639309,639062,638988,638913,638838,638764,638690,638615,638540,638466,638392,638317,638242,638168,638222,638276,638330,638384,638438,638492,638547,638601,638655,638709,638763,638817,639308,639798,640289,640780,641270,641761,642252,642742,643233,643724,644214,644705,644820,644936,645051,645166,645282,645397,645512,645628,645743,645858,645974,646089,646367,646644,646922,647200,647478,647756,648033,648311,648589,648866,649144,649422,649705,649989,650272,650555,650839,651122,651405,651689,651972,652255,652539,652822,653218,653613,654009,654404,654800,655196,655591,655987,656382,656778,657173,657569,658186,658802,659419,660035,660652,661268,661885,662502,663118,663735,664351,664968,665815,666662,667509,668356,669203,670050,670897,671744,672591,673299,674007,674715,675591,676467,677342,678218,679094,679970,680846,681722,682598,683473,684349,685225,686554,687884,689213,690542,691871,693200,694530,695859,697188,698518,699847,701176,702914,704653,706391,708129,709868,711606,713344,715083,716821,718559,720298,722036,723316,724597,725877,727158,728438,729718,730999,732279,733560,734840,736121,737401,738790,740178,741567,742956,744345,745734,747122,748511,749900,751288,752677,754066,754097,754127,754158,754189,754219,754250,754281,754311,754342,754373,754403,754434,754476,754519,754561,754603,754646,754688,754730,754773,754815,754857,754900,754942,755204,755465,755726,755988,756250,756511,756772,757034,757296,757557,757818,758080,758412,758744,759076,759407,759739,760071,760403,760735,761066,761398,761730,762062,762062,762062,762062,762062,762062,762062,762062,762062,762062,762062,762062,762062,762062,762062,762062,762062,762062
"Ohio",11353336,11356738,11360141,11363543,11365531,11367520,11369508,11371497,11373485,11375474,11377462,11379450,11381439,11383427,11385416,11387404,11389111,11390818,11392525,11394232,11395939,11397646,11399354,11401061,11402768,11404475,11406182,11407889,11410131,11412372,11414614,11416855,11419097,11421338,11423580,11425822,11428063,11430305,11432546,11434788,11436243,11437698,11439154,11440609,11442064,11443520,11444975,11446430,11447885,11449340,11450796,11452251,11453173,11454096,11455018,11455941,11456863,11457786,11458708,11459630,11460553,11461475,11462398,11463320,11464811,11466302,11467793,11469284,11470775,11472266,11473758,11475249,11476740,11478231,11479722,11481213,11482818,11484422,11486027,11487631,11489236,11490840,11492445,11494050,11495654,11497259,11498863,11500468,11501712,11502955,11504199,11505442,11506686,11507930,11509173,11510417,11511660,11512904,11514147,11515391,11516516,11517642,11518767,11519893,11521018,11522144,11523269,11524394,11525520,11526645,11527771,11528896,11529741,11530587,11531432,11532277,11533123,11533968,11534813,11535659,11536504,11537448,11538392,11539336,11539780,11540224,11540668,11541112,11541556,11542000,11542443,11542887,11543331,11543775,11544219,11544663,11545018,11545373,11545728,11546083,11546438,11546793,11547148,11547503,11547858,11548213,11548568,11548923,11551236,11553550,11555863,11558177,11560490,11562804,11565117,11567430,11569744,11572057,11574371,11576684,11578852,11581020,11583188,11585356,11587524,11589692,11591860,11594028,11596196,11598364,11600532,11602700,11603936,11605171,11606407,11607642,11608878,11610114,11611349,11612585,11613820,11615056,11616291,11617527,11618931,11620334,11621738,11623141,11624545,11625948,11627352,11628756,11630159,11631563,11632966,11634370,11636477,11638583,11640690,11642797,11644903,11647010,11649117,11651223,11653330,11655437,11657543,11659650,11661041,11662432,11663823,11665214,11666605,11667996,11669386,11670777,11672168,11673559,11674950,11676341,11677404,11678468,11679531,11680594,11681657,11682720,11683784,11684847,11685910,11686974,11688037,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100,11689100
"Oklahoma",3450451,3451756,3453060,3454365,3455426,3456488,3457549,3458610,3459671,3460732,3461794,3462855,3463916,3464978,3466039,3467100,3468932,3470763,3472595,3474427,3476258,3478090,3479922,3481753,3483585,3485417,3487248,3489080,3490398,3491715,3493033,3494351,3495668,3496986,3498304,3499621,3500939,3502257,3503574,3504892,3506587,3508282,3509977,3511672,3513367,3515062,3516758,3518453,3520148,3521843,3523538,3525233,3527180,3529127,3531074,3533021,3534968,3536915,3538862,3540809,3542756,3544703,3546650,3548597,3552388,3556179,3559970,3563761,3567552,3571344,3575135,3578926,3582717,3586508,3590299,3594090,3597445,3600800,3604155,3607510,3610865,3614220,3617574,3620929,3624284,3627639,3630994,3634349,3637235,3640120,3643006,3645891,3648777,3651662,3654548,3657434,3660319,3663205,3666090,3668976,3673026,3677075,3681125,3685175,3689224,3693274,3697324,3701373,3705423,3709473,3713522,3717572,3721325,3725078,3728832,3732585,3736338,3740091,3743845,3747598,3751351,3754215,3757080,3759944,3762314,3764683,3767053,3769422,3771792,3774162,3776531,3778901,3781270,3783640,3786009,3788379,3790915,3793452,3795988,3798524,3801060,3803596,3806133,3808669,3811205,3813742,3816278,3818814,3821681,3824547,3827414,3830281,3833147,3836014,3838881,3841747,3844614,3847481,3850347,3853214,3855295,3857376,3859457,3861538,3863619,3865700,3867782,3869863,3871944,3874025,3876106,3878187,3880796,3883406,3886015,3888625,3891234,3893844,3896453,3899062,3901672,3904281,3906891,3909500,3910903,3912305,3913708,3915110,3916513,3917916,3919318,3920721,3922123,3923526,3924928,3926331,3926746,3927162,3927577,3927993,3928408,3928824,3929239,3929654,3930070,3930485,3930901,3931316,3932059,3932802,3933546,3934289,3935032,3935776,3936519,3937262,3938005,3938748,3939492,3940235,3941630,3943024,3944419,3945814,3947208,3948603,3949998,3951392,3952787,3954182,3955576,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971,3956971
"Oregon",3421524,3424252,3426980,3429708,3432894,3436080,3439265,3442451,3445637,3448822,3452008,3455194,3458380,3461566,3464751,3467937,3471728,3475518,3479309,3483099,3486890,3490680,3494471,3498262,3502052,3505843,3509633,3513424,3516253,3519083,3521912,3524741,3527571,3530400,3533229,3536059,3538888,3541717,3544547,3547376,3549217,3551057,3552898,3554738,3556579,3558420,3560260,3562101,3563941,3565782,3567622,3569463,3573108,3576753,3580398,3584043,3587688,3591332,3594977,3598622,3602267,3605912,3609557,3613202,3618009,3622816,3627622,3632429,3637236,3642042,3646849,3651656,3656463,3661270,3666076,3670883,3675178,3679472,3683766,3688061,3692356,3696650,3700944,3705239,3709534,3713828,3718122,3722417,3726278,3730139,3734000,3737861,3741722,3745582,3749443,3753304,3757165,3761026,3764887,3768748,3772069,3775390,3778711,3782032,3785353,3788674,3791995,3795316,3798637,3801958,3805279,3808600,3811097,3813594,3816091,3818588,3821086,3823583,3826080,3828577,3831074,3833213,3835352,3837491,3840370,3843248,3846127,3849006,3851885,3854764,3857642,3860521,3863400,3866278,3869157,3872036,3874283,3876530,3878777,3881024,3883271,3885518,3887766,3890013,3892260,3894507,3896754,3899001,3900957,3902912,3904868,3906823,3908779,3910734,3912690,3914646,3916601,3918557,3920512,3922468,3925866,3929264,3932662,3936060,3939458,3942856,3946254,3949652,3953050,3956448,3959846,3963244,3967623,3972002,3976381,3980760,3985139,3989518,3993897,3998276,4002655,4007034,4011413,4015792,4021974,4028156,4034338,4040520,4046702,4052884,4059066,4065248,4071430,4077612,4083794,4089976,4094447,4098918,4103388,4107859,4112330,4116800,4121271,4125742,4130213,4134684,4139154,4143625,4146813,4150002,4153190,4156379,4159567,4162756,4165944,4169132,4172321,4175509,4178698,4181886,4184874,4187861,4190849,4193836,4196824,4199812,4202799,4205787,4208774,4211762,4214749,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737,4217737
"Pennsylvania",12280548,12281756,12282965,12284173,12285406,12286639,12287872,12289105,12290338,12291572,12292805,12294038,12295271,12296504,12297737,12298970,12301642,12304314,12306985,12309657,12312329,12315000,12317672,12320344,12323016,12325688,12328359,12331031,12334667,12338302,12341938,12345573,12349209,12352844,12356480,12360116,12363751,12367387,12371022,12374658,12377663,12380669,12383674,12386679,12389685,12392690,12395695,12398701,12401706,12404711,12407717,12410722,12413994,12417267,12420539,12423811,12427084,12430356,12433628,12436901,12440173,12443445,12446718,12449990,12455058,12460126,12465195,12470263,12475331,12480400,12485468,12490536,12495604,12500672,12505741,12510809,12515236,12519664,12524091,12528518,12532946,12537373,12541800,12546228,12550655,12555082,12559510,12563937,12567966,12571995,12576024,12580053,12584082,12588111,12592140,12596169,12600198,12604227,12608256,12612285,12616833,12621380,12625928,12630476,12635024,12639572,12644119,12648667,12653215,12657762,12662310,12666858,12670805,12674752,12678698,12682645,12686592,12690539,12694485,12698432,12702379,12705306,12708233,12711160,12714048,12716936,12719824,12722712,12725600,12728488,12731375,12734263,12737151,12740039,12742927,12745815,12747590,12749366,12751141,12752916,12754691,12756466,12758242,12760017,12761792,12763568,12765343,12767118,12767884,12768650,12769416,12770182,12770948,12771714,12772479,12773245,12774011,12774777,12775543,12776309,12777309,12778310,12779310,12780310,12781311,12782311,12783311,12784312,12785312,12786312,12787313,12788313,12788022,12787732,12787441,12787151,12786860,12786570,12786279,12785988,12785698,12785407,12785117,12784826,12784613,12784401,12784188,12783976,12783763,12783550,12783338,12783125,12782913,12782700,12782488,12782275,12782722,12783169,12783616,12784064,12784511,12784958,12785405,12785852,12786300,12786747,12787194,12787641,12788748,12789854,12790961,12792068,12793175,12794282,12795388,12796495,12797602,12798708,12799815,12800922,12801011,12801100,12801189,12801278,12801367,12801456,12801544,12801633,12801722,12801811,12801900,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989,12801989
"Puerto Rico",3808605,3809272,3809938,3810605,3811286,3811966,3812647,3813328,3814009,3814690,3815370,3816051,3816732,3817412,3818093,3818774,3819185,3819595,3820006,3820416,3820827,3821238,3821648,3822059,3822469,3822880,3823290,3823701,3823900,3824100,3824300,3824499,3824698,3824898,3825098,3825297,3825496,3825696,3825896,3826095,3826160,3826226,3826291,3826356,3826421,3826486,3826552,3826617,3826682,3826748,3826813,3826878,3826418,3825959,3825499,3825039,3824580,3824120,3823660,3823201,3822741,3822281,3821822,3821362,3820016,3818671,3817325,3815979,3814634,3813288,3811942,3810597,3809251,3807905,3806560,3805214,3803362,3801511,3799659,3797808,3795956,3794104,3792253,3790401,3788550,3786698,3784847,3782995,3781151,3779307,3777463,3775619,3773775,3771930,3770086,3768242,3766398,3764554,3762710,3760866,3759161,3757457,3755752,3754047,3752343,3750638,3748933,3747229,3745524,3743819,3742115,3740410,3738785,3737161,3735536,3733912,3732287,3730663,3729038,3727414,3725789,3724368,3722946,3721525,3717959,3714393,3710827,3707261,3703695,3700128,3696562,3692996,3689430,3685864,3682298,3678732,3675045,3671358,3667671,3663984,3660297,3656610,3652923,3649236,3645549,3641862,3638175,3634488,3631037,3627586,3624135,3620684,3617233,3613782,3610332,3606881,3603430,3599979,3596528,3593077,3588227,3583376,3578526,3573676,3568826,3563976,3559125,3554275,3549425,3544574,3539724,3534874,3529737,3524600,3519464,3514327,3509190,3504053,3498916,3493779,3488642,3483506,3478369,3473232,3467685,3462139,3456592,3451045,3445499,3439952,3434405,3428859,3423312,3417765,3412219,3406672,3399890,3393108,3386326,3379543,3372761,3365979,3359197,3352415,3345632,3338850,3332068,3325286,3314292,3303297,3292303,3281309,3270314,3259320,3248326,3237331,3226337,3215343,3204348,3193354,3193382,3193411,3193439,3193467,3193496,3193524,3193552,3193581,3193609,3193637,3193666,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694,3193694
"Rhode Island",1048259,1048929,1049598,1050268,1050841,1051414,1051986,1052559,1053132,1053705,1054278,1054851,1055424,1055996,1056569,1057142,1057880,1058618,1059355,1060093,1060831,1061568,1062306,1063044,1063782,1064520,1065257,1065995,1066441,1066886,1067332,1067777,1068223,1068668,1069114,1069560,1070005,1070451,1070896,1071342,1071612,1071882,1072151,1072421,1072691,1072960,1073230,1073500,1073770,1074040,1074309,1074579,1074024,1073468,1072913,1072358,1071803,1071248,1070692,1070137,1069582,1069026,1068471,1067916,1067514,1067113,1066711,1066309,1065908,1065506,1065104,1064703,1064301,1063899,1063498,1063096,1062614,1062132,1061651,1061169,1060687,1060206,1059724,1059242,1058760,1058278,1057797,1057315,1057122,1056930,1056737,1056544,1056352,1056159,1055966,1055774,1055581,1055388,1055196,1055003,1054890,1054777,1054664,1054551,1054438,1054324,1054211,1054098,1053985,1053872,1053759,1053646,1053526,1053406,1053286,1053166,1053047,1052927,1052807,1052687,1052567,1053031,1053495,1053959,1053933,1053907,1053882,1053856,1053830,1053804,1053778,1053752,1053726,1053701,1053675,1053649,1053730,1053811,1053892,1053973,1054054,1054135,1054216,1054297,1054378,1054459,1054540,1054621,1054659,1054698,1054736,1054774,1054813,1054851,1054889,1054928,1054966,1055004,1055043,1055081,1055152,1055224,1055295,1055366,1055437,1055508,1055580,1055651,1055722,1055794,1055865,1055936,1055947,1055958,1055968,1055979,1055990,1056000,1056011,1056022,1056033,1056044,1056054,1056065,1056124,1056182,1056241,1056300,1056359,1056418,1056476,1056535,1056594,1056652,1056711,1056770,1056679,1056587,1056496,1056404,1056313,1056222,1056130,1056039,1055947,1055856,1055764,1055673,1055891,1056109,1056326,1056544,1056762,1056980,1057198,1057416,1057634,1057851,1058069,1058287,1058376,1058466,1058556,1058645,1058734,1058824,1058914,1059003,1059092,1059182,1059272,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361,1059361
"South Carolina",4012023,4016090,4020156,4024223,4027621,4031018,4034416,4037814,4041211,4044609,4048007,4051404,4054802,4058200,4061597,4064995,4068562,4072128,4075695,4079262,4082828,4086395,4089962,4093528,4097095,4100662,4104228,4107795,4111337,4114879,4118420,4121962,4125504,4129046,4132588,4136130,4139672,4143213,4146755,4150297,4155349,4160401,4165453,4170505,4175557,4180609,4185661,4190713,4195765,4200817,4205869,4210921,4215857,4220792,4225728,4230664,4235600,4240536,4245471,4250407,4255343,4260278,4265214,4270150,4277458,4284766,4292074,4299382,4306690,4313998,4321307,4328615,4335923,4343231,4350539,4357847,4365036,4372224,4379413,4386601,4393790,4400978,4408167,4415356,4422544,4429733,4436921,4444110,4451184,4458258,4465332,4472405,4479479,4486553,4493627,4500701,4507774,4514848,4521922,4528996,4534069,4539142,4544215,4549288,4554361,4559434,4564507,4569580,4574653,4579726,4584799,4589872,4593816,4597759,4601703,4605646,4609590,4613533,4617477,4621420,4625364,4628792,4632221,4635649,4638678,4641706,4644735,4647764,4650793,4653822,4656850,4659879,4662908,4665936,4668965,4671994,4675774,4679554,4683334,4687114,4690894,4694674,4698454,4702234,4706014,4709794,4713574,4717354,4721248,4725142,4729036,4732929,4736823,4740717,4744611,4748505,4752398,4756292,4760186,4764080,4769041,4774003,4778964,4783926,4788887,4793848,4798810,4803771,4808733,4813694,4818656,4823617,4829310,4835004,4840697,4846391,4852084,4857778,4863471,4869164,4874858,4880551,4886245,4891938,4897440,4902943,4908446,4913948,4919450,4924953,4930456,4935958,4941460,4946963,4952466,4957968,4963243,4968518,4973793,4979068,4984343,4989618,4994893,5000168,5005443,5010718,5015993,5021268,5026509,5031749,5036990,5042231,5047471,5052712,5057953,5063193,5068434,5073675,5078915,5084156,5089536,5094916,5100296,5105675,5111055,5116435,5121815,5127195,5132574,5137954,5143334,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714,5148714
"South Dakota",754858,755187,755515,755844,756021,756199,756376,756553,756731,756908,757085,757263,757440,757617,757795,757972,758143,758313,758484,758655,758825,758996,759167,759337,759508,759679,759849,760020,760329,760638,760947,761256,761565,761874,762184,762493,762802,763111,763420,763729,764285,764840,765396,765951,766507,767062,767618,768174,768729,769285,769840,770396,770821,771246,771670,772095,772520,772944,773369,773794,774219,774644,775068,775493,776121,776750,777378,778006,778635,779263,779891,780520,781148,781776,782405,783033,783749,784465,785180,785896,786612,787328,788044,788760,789476,790191,790907,791623,792248,792873,793498,794123,794748,795374,795999,796624,797249,797874,798499,799124,799786,800448,801110,801772,802434,803096,803757,804419,805081,805743,806405,807067,807857,808648,809438,810228,811019,811809,812599,813390,814180,814842,815504,816166,816784,817402,818019,818637,819255,819872,820490,821108,821726,822344,822961,823579,824411,825244,826076,826908,827740,828572,829405,830237,831069,831902,832734,833566,834295,835024,835754,836483,837212,837941,838670,839399,840128,840858,841587,842316,842884,843452,844019,844587,845155,845722,846290,846858,847426,847994,848561,849129,849534,849939,850344,850749,851154,851558,851963,852368,852773,853178,853583,853988,854739,855489,856240,856991,857741,858492,859243,859993,860744,861495,862245,862996,863819,864641,865464,866287,867109,867932,868755,869577,870400,871223,872045,872868,873354,873840,874326,874811,875297,875783,876269,876755,877240,877726,878212,878698,879195,879692,880188,880685,881182,881678,882175,882672,883169,883666,884162,884659,884659,884659,884659,884659,884659,884659,884659,884659,884659,884659,884659,884659,884659,884659,884659,884659,884659
"Tennessee",5689427,5694191,5698955,5703719,5707642,5711564,5715486,5719409,5723332,5727254,5731176,5735099,5739022,5742944,5746866,5750789,5754550,5758310,5762071,5765832,5769593,5773354,5777114,5780875,5784636,5788396,5792157,5795918,5800242,5804567,5808892,5813216,5817540,5821865,5826190,5830514,5834838,5839163,5843488,5847812,5853062,5858312,5863561,5868811,5874061,5879310,5884560,5889810,5895060,5900310,5905559,5910809,5917496,5924184,5930871,5937558,5944246,5950933,5957620,5964308,5970995,5977682,5984370,5991057,5999199,6007342,6015484,6023627,6031769,6039912,6048054,6056196,6064339,6072481,6080624,6088766,6096013,6103260,6110506,6117753,6125000,6132246,6139493,6146740,6153987,6161234,6168480,6175727,6181701,6187674,6193648,6199622,6205595,6211569,6217543,6223516,6229490,6235464,6241437,6247411,6252295,6257179,6262063,6266947,6271831,6276715,6281599,6286483,6291367,6296251,6301135,6306019,6310473,6314927,6319381,6323835,6328289,6332743,6337197,6341651,6346105,6349174,6352242,6355311,6358976,6362641,6366306,6369971,6373636,6377301,6380966,6384631,6388296,6391961,6395626,6399291,6403842,6408392,6412943,6417493,6422044,6426594,6431145,6435696,6440246,6444797,6449347,6453898,6457268,6460638,6464008,6467379,6470749,6474119,6477489,6480859,6484230,6487600,6490970,6494340,6498247,6502154,6506061,6509968,6513875,6517782,6521688,6525595,6529502,6533409,6537316,6541223,6545385,6549548,6553710,6557872,6562034,6566196,6570359,6574521,6578683,6582846,6587008,6591170,6595740,6600310,6604880,6609450,6614020,6618590,6623160,6627730,6632300,6636870,6641440,6646010,6651242,6656475,6661707,6666940,6672172,6677404,6682637,6687869,6693102,6698334,6703567,6708799,6714035,6719271,6724507,6729743,6734979,6740215,6745451,6750687,6755923,6761159,6766395,6771631,6776426,6781222,6786017,6790812,6795607,6800402,6805198,6809993,6814788,6819584,6824379,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174,6829174
"Texas",20851028,20882185,20913342,20944499,20975759,21007020,21038280,21069540,21100800,21132060,21163321,21194581,21225841,21257102,21288362,21319622,21350514,21381406,21412298,21443190,21474082,21504974,21535865,21566757,21597649,21628541,21659433,21690325,21718709,21747093,21775476,21803860,21832244,21860628,21889012,21917396,21945780,21974163,22002547,22030931,22061189,22091446,22121704,22151962,22182219,22212477,22242735,22272992,22303250,22333508,22363765,22394023,22426031,22458040,22490048,22522056,22554065,22586073,22618081,22650090,22682098,22714106,22746115,22778123,22826578,22875032,22923487,22971942,23020397,23068852,23117306,23165761,23214216,23262670,23311125,23359580,23398947,23438314,23477681,23517048,23556415,23595782,23635148,23674515,23713882,23753249,23792616,23831983,23871738,23911492,23951247,23991002,24030756,24070511,24110266,24150020,24189775,24229530,24269284,24309039,24350099,24391159,24432220,24473280,24514340,24555400,24596460,24637520,24678580,24719641,24760701,24801761,24839961,24878161,24916361,24954561,24992761,25030961,25069161,25107361,25145561,25177698,25209834,25241971,25275609,25309247,25342886,25376524,25410162,25443800,25477438,25511076,25544714,25578353,25611991,25645629,25682200,25718771,25755342,25791913,25828484,25865055,25901626,25938197,25974768,26011339,26047910,26084481,26117463,26150445,26183427,26216409,26249391,26282374,26315356,26348338,26381320,26414302,26447284,26480266,26520605,26560944,26601283,26641622,26681961,26722300,26762638,26802977,26843316,26883655,26923994,26964333,27006477,27048620,27090764,27132907,27175051,27217194,27259338,27301482,27343625,27385769,27427912,27470056,27507086,27544115,27581144,27618174,27655204,27692233,27729262,27766292,27803322,27840351,27877380,27914410,27946149,27977887,28009626,28041364,28073103,28104842,28136580,28168319,28200057,28231796,28263534,28295273,28323056,28350838,28378621,28406404,28434187,28461970,28489752,28517535,28545318,28573100,28600883,28628666,28659267,28689868,28720470,28751071,28781672,28812274,28842875,28873476,28904077,28934678,28965280,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881,28995881
"Utah",2233183,2236956,2240729,2244502,2247770,2251038,2254305,2257573,2260841,2264108,2267376,2270644,2273912,2277180,2280447,2283715,2287140,2290565,2293990,2297415,2300840,2304265,2307690,2311115,2314540,2317965,2321390,2324815,2327758,2330702,2333646,2336589,2339532,2342476,2345420,2348363,2351306,2354250,2357194,2360137,2363591,2367044,2370498,2373951,2377405,2380858,2384312,2387766,2391219,2394673,2398126,2401580,2406258,2410936,2415615,2420293,2424971,2429650,2434328,2439006,2443684,2448362,2453041,2457719,2463368,2469017,2474666,2480315,2485964,2491613,2497262,2502911,2508560,2514209,2519858,2525507,2531527,2537547,2543567,2549587,2555607,2561626,2567646,2573666,2579686,2585706,2591726,2597746,2603186,2608626,2614067,2619507,2624947,2630388,2635828,2641268,2646708,2652148,2657589,2663029,2668062,2673094,2678127,2683160,2688192,2693225,2698258,2703290,2708323,2713356,2718388,2723421,2727917,2732413,2736909,2741405,2745901,2750397,2754893,2759389,2763885,2767701,2771516,2775332,2778586,2781841,2785095,2788349,2791604,2794858,2798112,2801367,2804621,2807875,2811130,2814384,2817633,2820882,2824132,2827381,2830630,2833880,2837129,2840378,2843627,2846876,2850126,2853375,2857064,2860752,2864441,2868130,2871819,2875508,2879196,2882885,2886574,2890262,2893951,2897640,2900910,2904180,2907450,2910720,2913990,2917260,2920529,2923799,2927069,2930339,2933609,2936879,2940625,2944372,2948118,2951864,2955611,2959357,2963103,2966850,2970596,2974342,2978089,2981835,2986838,2991840,2996843,3001846,3006849,3011852,3016854,3021857,3026860,3031862,3036865,3041868,3046799,3051730,3056662,3061593,3066524,3071455,3076386,3081317,3086248,3091180,3096111,3101042,3105418,3109793,3114169,3118545,3122920,3127296,3131672,3136047,3140423,3144799,3149174,3153550,3157917,3162285,3166652,3171019,3175387,3179754,3184121,3188489,3192856,3197223,3201591,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958,3205958
