Year,Month,State Name,# of Reports
2016,3,West Virginia,164
2016,3,Wisconsin,"1,021"
2016,3,Wyoming,84
2016,4,Alabama,530
2016,4,Alaska,79
2016,4,Arizona,"1,200"
2016,4,Arkansas,316
2016,4,California,"6,384"
2016,4,Colorado,850
2016,4,Connecticut,529
2016,4,Delaware,361
2016,4,District of Columbia,195
2016,4,Florida,"3,862"
2016,4,Georgia,"1,458"
2016,4,Hawaii,102
2016,4,Idaho,161
2016,4,Illinois,"2,092"
2016,4,Indiana,624
2016,4,Iowa,275
2016,4,Kansas,330
2016,4,Kentucky,391
2016,4,Louisiana,367
2016,4,Maine,243
2016,4,Maryland,"1,124"
2016,4,Massachusetts,957
2016,4,Michigan,"3,146"
2016,4,Minnesota,898
2016,4,Mississippi,255
2016,4,Missouri,"1,013"
2016,4,Montana,114
2016,4,Nebraska,191
2016,4,Nevada,392
2016,4,New Hampshire,180
2016,4,New Jersey,"1,286"
2016,4,New Mexico,305
2016,4,New York,"2,345"
2016,4,North Carolina,"1,263"
2016,4,North Dakota,73
2016,4,Ohio,"1,309"
2016,4,Oklahoma,447
2016,4,Oregon,558
2016,4,Pennsylvania,"1,765"
2016,4,Puerto Rico,286
2016,4,Rhode Island,204
2016,4,South Carolina,512
2016,4,South Dakota,75
2016,4,Tennessee,610
2016,4,Texas,"4,022"
2016,4,Utah,327
2016,4,Vermont,53
2016,4,Virginia,"1,320"
2016,4,Washington,"1,045"
2016,4,West Virginia,144
2016,4,Wisconsin,572
2016,4,Wyoming,52
2016,5,Alabama,254
2016,5,Alaska,48
2016,5,Arizona,634
2016,5,Arkansas,171
2016,5,California,"4,019"
2016,5,Colorado,425
2016,5,Connecticut,331
2016,5,Delaware,151
2016,5,District of Columbia,105
2016,5,Florida,"2,460"
2016,5,Georgia,903
2016,5,Hawaii,54
2016,5,Idaho,66
2016,5,Illinois,"1,232"
2016,5,Indiana,308
2016,5,Iowa,117
2016,5,Kansas,161
2016,5,Kentucky,161
2016,5,Louisiana,259
2016,5,Maine,73
2016,5,Maryland,512
2016,5,Massachusetts,446
2016,5,Michigan,"1,215"
2016,5,Minnesota,320
2016,5,Mississippi,179
2016,5,Missouri,453
2016,5,Montana,44
2016,5,Nebraska,86
2016,5,Nevada,273
2016,5,New Hampshire,88
2016,5,New Jersey,678
2016,5,New Mexico,130
2016,5,New York,"1,572"
2016,5,North Carolina,644
2016,5,North Dakota,24
2016,5,Ohio,693
2016,5,Oklahoma,188
2016,5,Oregon,313
2016,5,Pennsylvania,"1,011"
2016,5,Puerto Rico,235
2016,5,Rhode Island,80
2016,5,South Carolina,337
2016,5,South Dakota,40
2016,5,Tennessee,422
2016,5,Texas,"2,291"
2016,5,Utah,180
2016,5,Vermont,23
2016,5,Virginia,536
2016,5,Washington,599
2016,5,West Virginia,73
2016,5,Wisconsin,306
2016,5,Wyoming,15
2016,6,Alabama,235
2016,6,Alaska,39
2016,6,Arizona,567
2016,6,Arkansas,124
2016,6,California,"3,594"
2016,6,Colorado,406
2016,6,Connecticut,256
2016,6,Delaware,85
2016,6,District of Columbia,93
2016,6,Florida,"2,249"
2016,6,Georgia,850
2016,6,Hawaii,62
2016,6,Idaho,70
2016,6,Illinois,"1,107"
2016,6,Indiana,286
2016,6,Iowa,102
2016,6,Kansas,141
2016,6,Kentucky,180
2016,6,Louisiana,204
2016,6,Maine,68
2016,6,Maryland,456
2016,6,Massachusetts,404
2016,6,Michigan,939
2016,6,Minnesota,293
2016,6,Mississippi,136
2016,6,Missouri,369
2016,6,Montana,45
2016,6,Nebraska,83
2016,6,Nevada,273
2016,6,New Hampshire,59
2016,6,New Jersey,629
2016,6,New Mexico,130
2016,6,New York,"1,364"
2016,6,North Carolina,565
2016,6,North Dakota,30
2016,6,Ohio,657
2016,6,Oklahoma,181
2016,6,Oregon,269
2016,6,Pennsylvania,858
2016,6,Puerto Rico,275
2016,6,Rhode Island,70
2016,6,South Carolina,268
2016,6,South Dakota,22
2016,6,Tennessee,356
2016,6,Texas,"2,159"
2016,6,Utah,160
2016,6,Vermont,20
2016,6,Virginia,462
2016,6,Washington,484
2016,6,West Virginia,56
2016,6,Wisconsin,285
2016,6,Wyoming,16
2016,7,Alabama,217
2016,7,Alaska,26
2016,7,Arizona,508
2016,7,Arkansas,138
2016,7,California,"3,489"
2016,7,Colorado,375
2016,7,Connecticut,258
2016,7,Delaware,58
2016,7,District of Columbia,74
2016,7,Florida,"2,090"
2016,7,Georgia,754
2016,7,Hawaii,50
2016,7,Idaho,70
2016,7,Illinois,"1,061"
2016,7,Indiana,253
2016,7,Iowa,103
2016,7,Kansas,148
2016,7,Kentucky,179
2016,7,Louisiana,214
2016,7,Maine,49
2016,7,Maryland,384
2016,7,Massachusetts,360
2016,7,Michigan,787
2016,7,Minnesota,244
2016,7,Mississippi,144
2016,7,Missouri,321
2016,7,Montana,24
2016,7,Nebraska,57
2016,7,Nevada,251
2016,7,New Hampshire,65
2016,7,New Jersey,562
2016,7,New Mexico,116
2016,7,New York,"1,305"
2016,7,North Carolina,577
2016,7,North Dakota,15
2016,7,Ohio,550
2016,7,Oklahoma,199
2016,7,Oregon,216
2016,7,Pennsylvania,880
2016,7,Puerto Rico,224
2016,7,Rhode Island,64
2016,7,South Carolina,266
2016,7,South Dakota,36
2016,7,Tennessee,315
2016,7,Texas,"2,559"
2016,7,Utah,136
2016,7,Vermont,15
2016,7,Virginia,478
2016,7,Washington,471
2016,7,West Virginia,67
2016,7,Wisconsin,229
2016,7,Wyoming,22
2016,8,Alabama,272
2016,8,Alaska,36
2016,8,Arizona,605
2016,8,Arkansas,155
2016,8,California,"4,296"
2016,8,Colorado,451
2016,8,Connecticut,304
2016,8,Delaware,78
