Organization Name,Letter URL,Reported Date,Date of Breach,End Date
Area Agency on Aging and Disabilities of Southwest Washington,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/AreaAgencyOnAgingAndDisabilitiesOfSWWashington.2019-04-22.pdf,4/22/2019,1/15/2019,
Housing Authority of Thurston County,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/HousingAuthorityOfThurstonCounty.2019-04-24.pdf,4/15/2019,3/13/2019,
Archbright,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/Archbright.2019-04-05.pdf,4/5/2019,Unspecified,Unspecified
"AeroGrow International, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/AeroGrowInternationalInc.2019-04-04.pdf,4/5/2019,10/29/2018,3/4/2019
"Jobscience, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/JobscienceInc.2019-04-03.pdf,4/3/2019,5/8/2018,
New Bit Ventures Ltd. (Coinmama.com),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/NewBitVenturesLtd%28Coinmama.com%29.2019-04-02.pdf,4/2/2019,18-Dec,
"Key West Hotels, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/KeyWestHotelsLLC.2019-04-02.pdf,4/2/2019,2/7/2018,12/13/2018
Earl Enterprises,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/EarlEnterprises.2019-03-29.pdf,3/29/2019,5/23/2019,3/18/2019
"HealthMarkets Insurance Agency, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/HealthMarketsInsuranceAgency.2019-04-01.pdf,3/28/2019,2/6/2019,2/12/2019
Seattle Housing Authority (update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SeattleHousingAuthority-Updated.2019-03-22.pdf,3/19/2019,1/7/2019,
"flexPATH Strategies, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/flexPATHStrategiesLLC.2019-03-15.pdf,3/15/2019,12/7/2018,
"Columbia Surgical Specialists, P.S. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/ColumbiaSurgicalSpecialists.2019-03-07.pdf,3/7/2019,1/9/2019,
Seattle Housing Authority,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SeattleHousingAuthority.2019-02-22.pdf,2/22/2019,1/7/2019,
University of Washington Medical Center,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/UniversityOfWashingtonMedicalCenter.2019-02-20.pdf,2/20/2019,12/4/2018,1/10/2019
North 40 Outfitters ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/North40Outfitters.2019-02-14.pdf,2/14/2019,2/2/2018,11/20/2018
Stanwich Mortgage Loan Trust,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/StanwichMortgageLoanTrust.2019-02-12.pdf,2/12/2019,2/18/2019,1/19/2019
Pharmacy Times Office of Continuing Professional Education (update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacyTimesOfficeOfContinuingProfessionalEducationLLCUpdated.2019-02-06_0.pdf,2/6/2019,7/6/2018,
"Image-I-Nation Technologies, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/Image-I-NationTechnologiesInc.2019-01-30.pdf,1/30/2019,11/1/2018,11/5/2018
"Pharmaca Integrative Pharmacy, LLC ",,1/18/2019,7/19/2018,12/12/2018
Caroline Kline Galland Home,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/CarolineKlineGallandHome.2019-01-11.pdf,1/11/2019,12/23/2018,
"A&A Global Imports, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/AandAGlobalImportsInc.2019-01-09.pdf,1/9/2019,8/15/2017,1/4/2019
Pharmacy Times Office of Continuing Professional Education,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacyTimesOfficeOfContinuingProfessionalEducationLLCUpdated.2019-02-06.pdf,1/6/2019,7/6/2018,
Chaplaincy Health Care,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/ChaplaincyHealthCare.pdf,1/3/2019,11/20/2018,
"Aimbridge Hospitality Holdings, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/AimbridgeHospitalityHoldingsLLC.2018-12-31.PDF,12/31/2018,6/7/2018,9/24/2018
"Bel USA, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/BelUSA.2016-12-26.pdf,12/26/2018,8/5/2018,11/16/2018
JAND Inc. d/b/a Warby Parker,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/JandIncdbaWarbyParker.2018-12-20.pdf,12/20/2018,~09/25/2018,11/18/2018
San Diego Hardware,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SanDiegoHardware.2018-12-05.pdf,12/5/2018,2/5/2018,8/21/2018
"Titan Manufacturing and Distributing, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TitanManufacturingAndDistributingInc.2018-12-07.pdf,Unspecified,Unspecified,
