URL,Org Name,Reported Date,Update Notice,,,,,,,
https://ago.vermont.gov/blog/2020/05/04/apisource-notice-of-data-breach-to-consumers/,APISource,4-May-20,,,,,,,,
https://ago.vermont.gov/blog/2020/05/01/the-city-of-fort-lauderdale-notice-of-data-breach-to-consumers/,The City of Fort Lauderdale,1-May-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/30/mbs-textbook-exchange-notice-of-data-breach-to-consumers/,MBS Textbook Exchange,30-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/29/nutribullet-capital-brands-llc-sbn-to-consumers/,NutriBullet – Capital Brands LLC,29-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/27/meridian-health-services-notice-of-data-breach-to-consumers/,Meridian Health Services,27-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/27/sanborn-tuepker-assoc-notice-of-data-breach-to-consumers/,Sanborn-Tuepker Assoc.,27-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/27/pacific-press-publishing-notice-of-data-breach-to-consumers/,Pacific Press Publishing,27-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/24/trinity-benefit-advisors-notice-of-data-breach-to-consumers/,Trinity Benefit Advisors,24-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/21/tupperware-notice-of-data-breach-to-consumers/,Tupperware,21-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/20/volusion-llc-notice-of-data-breach-to-consumers/,Volusion LLC,20-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/20/kandypens-notice-of-data-breach-to-consumers/,KandyPens,20-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/20/silicon-valley-community-foundation-notice-of-data-breach-to-consumers/,Silicon Valley Community Foundation,20-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/17/execupharm-inc-notice-of-data-breach-to-consumers/,ExecuPharm Inc,17-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/17/ambry-genetics-corp-notice-of-data-breach-to-consumers/,Ambry Genetics Corp,17-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/16/fareway-stores-notice-of-data-breach-to-consumers/,Fareway Stores,16-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/16/oxfam-america-inc-notice-of-data-breach-to-consumers/,Oxfam America Inc,16-Apr-20,,,,,,,,
https://ago.vermont.gov/blog/2020/04/20/kandypens-notice-of-data-breach-to-consumers/,KandyPens,4/20/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/20/silicon-valley-community-foundation-notice-of-data-breach-to-consumers/,Silicon Valley Community Foundation,4/20/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/17/execupharm-inc-notice-of-data-breach-to-consumers/,ExecuPharm Inc,4/17/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/17/ambry-genetics-corp-notice-of-data-breach-to-consumers/,Ambry Genetics Corp,4/17/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/16/fareway-stores-notice-of-data-breach-to-consumers/,Fareway Stores,4/16/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/15/mccauley-and-associates-notice-of-data-breach-to-consumers/,McCauley and Associates,4/15/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/15/lee-auto-malls-notice-of-data-breach-to-consumers/,Lee Auto Malls,4/15/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/10/us-xpress-enterprises-notice-of-data-breach-to-consumers/,US.Xpress Enterprises,4/10/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/10/tigerchef-notice-of-data-breach-to-consumers/,TigerChef,4/10/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/08/grape-holdings-notice-of-data-breach-to-consumers/,Grape Holdings,4/8/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/07/healthcare-resource-group-notice-of-data-breach-to-consumers/,Healthcare Resource Group,4/7/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/07/wirepath-home-systems-notice-of-data-breach-to-consumers/,Wirepath Home Systems,4/7/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/06/north-star-leasing-notice-of-data-breach-to-consumers/,North Star Leasing,4/6/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/06/spinrite-inc-notice-of-data-breach-to-consumers/,Spinrite Inc,4/6/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/03/lakeland-community-college-notice-of-data-breach-to-consumers/,Lakeland Community College,4/3/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/03/napierski-vandenburgh-napierski-oconnor-notice-of-data-breach-to-consumers/,"Napierski, VanDenburgh, Napierski & O'Connor",4/3/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/02/grippin-donlan-pinkham-notice-of-data-breach-to-consumers/,Grippin Donlan Pinkham,4/2/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/04/01/plano-synergy-holdings-notice-of-data-breach-to-consumers/,Plano Synergy Holdings,4/1/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/31/national-institute-for-automotive-service-excellence-notice-of-data-breach-to-consumers/,National Institute for Automotive Service Excellence,3/31/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/30/enerco-group-notice-of-data-breach-to-consumers/,Enerco Group,3/30/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/30/blue-cross-blue-sheild-association-notice-of-data-breach-to-consumers/,Blue Cross Blue Sheild Association,3/30/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/25/rosenfelt-siegel-and-goldberg-notice-of-data-breach-to-consumers/,Rosenfelt Siegel and Goldberg,3/25/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/25/bfs-capital-notice-of-data-breach-to-consumers/,BFS Capital,3/25/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/25/total-quality-logistics-llc-notice-of-data-breach-to-consumers/,Total Quality Logistics LLC,3/25/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/17/town-of-houlton-police-department-notice-of-data-breach-to-consumers/,Town of Houlton Police Department,3/17/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/17/here-be-monsters-notice-of-data-breach-to-consumers/,Here Be Monsters,3/17/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/17/kids2-inc-notice-of-data-breach-to-consumers/,Kids2 Inc,3/17/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/17/td-bank-notice-of-data-breach-to-consumers/,TD Bank,3/17/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/17/tandem-diabetes-care-inc-notice-of-data-breach-to-consumers/,Tandem Diabetes Care Inc,3/17/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/13/sceptre-hospitality-resources-notice-of-data-breach-to-consumers/,Sceptre Hospitality Resources,3/13/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/13/first-federal-bank-and-trust-notice-of-data-breach-to-consumers/,First Federal Bank and Trust,3/13/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/13/zerbee-notice-of-data-breach-to-consumers/,Zerbee,3/13/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/13/hotel-contessa-bggmc-llc-notice-of-data-breach-to-consumers/,Hotel Contessa - BGGMC LLC,3/13/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/12/outreach-health-services-notice-of-data-breach-to-consumers/,Outreach Health Services,3/12/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/11/woods-woods-notice-of-data-breach-to-consumers/,Woods & Woods,3/11/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/11/the-results-companies-notice-of-data-breach-to-consumers/,The Results Companies,3/11/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/11/northeast-radiology-notice-of-data-breach-to-consumers/,Northeast Radiology,3/11/2020,,,,,,,,
https://ago.vermont.gov/blog/2020/03/10/truefire-llc-notice-of-data-breach-to-consumers/,TrueFire LLC,3/10/2020,,,,,,,,
